p: 0.239999187056, r: 356.52160557, y: 160.367923976
p: 0.207820004761, r: 356.426550681, y: 160.012467271
p: 0.180903523243, r: 356.338352235, y: 159.667351473
p: 0.153860443101, r: 356.293494967, y: 159.331005637
p: 0.12385618247, r: 356.210530367, y: 159.008238218
p: 0.106661414688, r: 356.139155317, y: 158.704048913
p: 0.0772790281058, r: 356.07938177, y: 158.41111576
p: 0.0495246944857, r: 356.014652067, y: 158.132771891
p: 0.0196633675685, r: 355.952435874, y: 157.855124701
p: 359.994606979, r: 355.895008924, y: 157.590905663
p: 359.968816291, r: 355.826999023, y: 157.345169117
p: 359.948323156, r: 355.782790197, y: 157.118680044
p: 359.926852603, r: 355.736644585, y: 156.86000712
p: 359.903833718, r: 355.687503509, y: 156.635621745
p: 359.874690375, r: 355.64285072, y: 156.431166863
p: 359.84959714, r: 355.598269221, y: 156.216316432
p: 359.823626146, r: 355.55527873, y: 156.040425401
p: 359.809508612, r: 355.525917454, y: 155.864493388
p: 359.793137876, r: 355.621461129, y: 155.689148772
p: 359.767786001, r: 355.597343731, y: 155.529376987
p: 359.75119886, r: 355.564813247, y: 155.361682182
p: 359.749311087, r: 355.517850574, y: 155.197853265
p: 359.727792202, r: 355.492069171, y: 155.05002065
p: 359.698060655, r: 355.456404058, y: 154.903171583
p: 359.682771784, r: 355.426303841, y: 154.76837097
p: 359.663246834, r: 355.385293251, y: 154.632122356
